Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,0.6575,0.661,0.655,0.6582,0.0012,+0.18%,0
2000-01-04,0.6568,0.6591,0.6544,0.6552,-0.003,-0.46%,0
2000-01-05,0.657,0.6595,0.6538,0.6588,0.0036,+0.55%,0
2000-01-06,0.6555,0.6587,0.653,0.6544,-0.0044,-0.67%,0
2000-01-07,0.6525,0.656,0.6523,0.6557,0.0013,+0.20%,0
2000-01-10,0.6561,0.657,0.6542,0.6568,0.0011,+0.17%,0
2000-01-11,0.6543,0.6585,0.6535,0.6583,0.0015,+0.23%,0
2000-01-12,0.6584,0.659,0.6574,0.6587,0.0004,+0.06%,0
2000-01-13,0.664,0.6685,0.6587,0.6673,0.0086,+1.31%,0
2000-01-14,0.6665,0.6684,0.6653,0.6663,-0.001,-0.15%,0
2000-01-18,0.6631,0.6662,0.6625,0.6662,-0.0001,-0.02%,0
2000-01-19,0.6635,0.666,0.6627,0.6636,-0.0026,-0.39%,0
2000-01-20,0.6644,0.6674,0.6617,0.6659,0.0023,+0.35%,0
2000-01-21,0.6634,0.6659,0.6623,0.6632,-0.0027,-0.41%,0
2000-01-24,0.6551,0.6596,0.6525,0.6545,-0.0087,-1.31%,0
2000-01-25,0.6552,0.657,0.6535,0.6558,0.0013,+0.20%,0
2000-01-26,0.6545,0.657,0.6495,0.652,-0.0038,-0.58%,0
2000-01-27,0.6519,0.6555,0.6519,0.6545,0.0025,+0.38%,0
2000-01-28,0.6485,0.6552,0.6235,0.6322,-0.0223,-3.41%,0
2000-01-31,0.634,0.6395,0.6339,0.6374,0.0052,+0.82%,0
2000-02-01,0.636,0.638,0.6292,0.6325,-0.0049,-0.77%,0
2000-02-02,0.6354,0.6409,0.6324,0.6385,0.006,+0.95%,0
2000-02-03,0.6329,0.64,0.6307,0.637,-0.0015,-0.23%,0
2000-02-04,0.631,0.6381,0.6293,0.6372,0.0002,+0.03%,0
2000-02-07,0.6391,0.6426,0.6312,0.6338,-0.0034,-0.53%,0
2000-02-08,0.6333,0.637,0.6312,0.6325,-0.0013,-0.21%,0
2000-02-09,0.6364,0.638,0.631,0.6358,0.0033,+0.52%,0
2000-02-10,0.6325,0.6363,0.6288,0.6321,-0.0037,-0.58%,0
2000-02-11,0.6311,0.6327,0.6255,0.631,-0.0011,-0.17%,0
2000-02-14,0.6305,0.6327,0.6262,0.6272,-0.0038,-0.60%,0
2000-02-15,0.6265,0.6307,0.6243,0.6288,0.0016,+0.26%,0
2000-02-16,0.631,0.6329,0.6275,0.6321,0.0033,+0.52%,0
2000-02-17,0.6372,0.6372,0.6297,0.6325,0.0004,+0.06%,0
2000-02-18,0.6308,0.6335,0.6285,0.6297,-0.0028,-0.44%,0
2000-02-22,0.627,0.6275,0.623,0.6241,-0.0056,-0.89%,0
2000-02-23,0.6204,0.6238,0.6185,0.6203,-0.0038,-0.61%,0
2000-02-24,0.6163,0.6228,0.6139,0.6151,-0.0052,-0.84%,0
2000-02-25,0.6196,0.6218,0.6145,0.6162,0.0011,+0.18%,0
2000-02-28,0.6131,0.6172,0.6107,0.6142,-0.002,-0.32%,0
2000-02-29,0.6138,0.6188,0.6131,0.6188,0.0046,+0.75%,0
2000-03-01,0.606,0.618,0.6039,0.6055,-0.0133,-2.15%,0
2000-03-02,0.61,0.6113,0.6026,0.607,0.0015,+0.25%,0
2000-03-03,0.6065,0.6103,0.6052,0.6085,0.0015,+0.25%,0
2000-03-06,0.6036,0.6083,0.6008,0.6024,-0.0061,-1.00%,0
2000-03-07,0.6035,0.6057,0.601,0.6057,0.0033,+0.55%,0
2000-03-08,0.6065,0.6097,0.603,0.6095,0.0038,+0.63%,0
2000-03-09,0.6123,0.616,0.609,0.6155,0.006,+0.98%,0
2000-03-10,0.6134,0.616,0.6129,0.615,-0.0005,-0.08%,0
2000-03-13,0.6139,0.6172,0.6118,0.616,0.001,+0.16%,0
2000-03-14,0.615,0.6191,0.613,0.615,-0.001,-0.16%,0
2000-03-15,0.6125,0.6162,0.6118,0.6134,-0.0016,-0.26%,0
2000-03-16,0.6129,0.6148,0.6093,0.6119,-0.0015,-0.24%,0
2000-03-17,0.6086,0.6126,0.6054,0.6069,-0.005,-0.82%,0
2000-03-20,0.6052,0.6089,0.6033,0.6089,0.002,+0.33%,0
2000-03-21,0.6085,0.6114,0.6073,0.6104,0.0015,+0.25%,0
2000-03-22,0.6066,0.61,0.6044,0.6051,-0.0053,-0.87%,0
