Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,1.0085,1.028,1.0055,1.0256,0.0168,+1.67%,0
2000-01-04,1.0255,1.034,1.0217,1.0301,0.0045,+0.44%,0
2000-01-05,1.0304,1.04,1.0289,1.0315,0.0014,+0.14%,0
2000-01-06,1.032,1.0413,1.0283,1.0315,0,0.00%,0
2000-01-07,1.0317,1.0333,1.0263,1.0296,-0.0019,-0.18%,0
2000-01-10,1.0284,1.03,1.0217,1.0254,-0.0042,-0.41%,0
2000-01-11,1.0256,1.0339,1.025,1.0331,0.0077,+0.75%,0
2000-01-12,1.0333,1.0365,1.0265,1.0308,-0.0023,-0.22%,0
2000-01-13,1.0307,1.0317,1.024,1.0252,-0.0056,-0.54%,0
2000-01-14,1.0256,1.0273,1.0117,1.0142,-0.011,-1.07%,0
2000-01-17,1.0151,1.0151,1.0072,1.0112,-0.003,-0.30%,0
2000-01-18,1.0113,1.0139,1.0076,1.0135,0.0023,+0.23%,0
2000-01-19,1.013,1.016,1.0088,1.0125,-0.001,-0.10%,0
2000-01-20,1.0122,1.0186,1.008,1.0175,0.005,+0.49%,0
2000-01-21,1.0173,1.0191,1.0054,1.0085,-0.009,-0.88%,0
2000-01-24,1.0095,1.0095,1.0004,1.007,-0.0015,-0.15%,0
2000-01-25,1.0064,1.0095,0.9997,1.0009,-0.0061,-0.61%,0
2000-01-26,1.0009,1.0051,0.9997,1.0014,0.0005,+0.05%,0
2000-01-27,1.0016,1.0025,0.9875,0.9882,-0.0132,-1.32%,0
2000-01-28,0.9881,0.9895,0.9739,0.9769,-0.0113,-1.14%,0
2000-01-31,0.978,0.9826,0.9675,0.9688,-0.0081,-0.83%,0
2000-02-01,0.9696,0.9777,0.9671,0.9721,0.0033,+0.34%,0
2000-02-02,0.9716,0.9806,0.9697,0.9765,0.0044,+0.45%,0
2000-02-03,0.9755,0.9945,0.9717,0.99,0.0135,+1.38%,0
2000-02-04,0.9904,0.9937,0.9754,0.9821,-0.0079,-0.80%,0
2000-02-07,0.9817,0.9824,0.9758,0.98,-0.0021,-0.21%,0
2000-02-08,0.9801,0.9912,0.979,0.986,0.006,+0.61%,0
2000-02-09,0.9863,0.9963,0.9854,0.9927,0.0067,+0.68%,0
2000-02-10,0.993,0.996,0.9835,0.9851,-0.0076,-0.77%,0
2000-02-11,0.9845,0.9875,0.9793,0.9866,0.0015,+0.15%,0
2000-02-14,0.9875,0.9914,0.9781,0.98,-0.0066,-0.67%,0
2000-02-15,0.9796,0.9858,0.9768,0.981,0.001,+0.10%,0
2000-02-16,0.9813,0.9874,0.9793,0.9865,0.0055,+0.56%,0
2000-02-17,0.9861,0.9951,0.9843,0.988,0.0015,+0.15%,0
2000-02-18,0.9881,0.99,0.9809,0.9848,-0.0032,-0.32%,0
2000-02-21,0.9845,0.9887,0.9845,0.9872,0.0024,+0.24%,0
2000-02-22,0.9873,1.0079,0.9873,1.0037,0.0165,+1.67%,0
2000-02-23,1.0037,1.0085,1.0012,1.0034,-0.0003,-0.03%,0
2000-02-24,1.0034,1.0041,0.9892,0.9924,-0.011,-1.10%,0
2000-02-25,0.9915,0.9924,0.9731,0.9744,-0.018,-1.81%,0
2000-02-28,0.9738,0.9745,0.9406,0.9714,-0.003,-0.31%,0
2000-02-29,0.9708,0.983,0.9625,0.9645,-0.0069,-0.71%,0
2000-03-01,0.964,0.9765,0.9629,0.9732,0.0087,+0.90%,0
2000-03-02,0.9733,0.979,0.9618,0.9651,-0.0081,-0.83%,0
2000-03-03,0.9653,0.9674,0.958,0.9582,-0.0069,-0.71%,0
2000-03-06,0.9598,0.967,0.9562,0.9586,0.0004,+0.04%,0
2000-03-07,0.9583,0.9623,0.9532,0.9581,-0.0005,-0.05%,0
2000-03-08,0.9581,0.963,0.9524,0.9607,0.0026,+0.27%,0
2000-03-09,0.9607,0.9695,0.9605,0.9667,0.006,+0.62%,0
