Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,1.6395,1.6396,1.6145,1.6395,0.0245,+1.52%,0
2000-01-04,1.6373,1.6412,1.6316,1.6373,-0.0022,-0.13%,0
2000-01-05,1.6419,1.6448,1.6351,1.6419,0.0046,+0.28%,0
2000-01-06,1.6472,1.6509,1.6412,1.6472,0.0053,+0.32%,0
2000-01-07,1.6383,1.6498,1.636,1.6383,-0.0089,-0.54%,0
2000-01-10,1.6366,1.64,1.6335,1.6366,-0.0017,-0.10%,0
2000-01-11,1.6479,1.6489,1.6349,1.6479,0.0113,+0.69%,0
2000-01-12,1.6478,1.6508,1.6454,1.6478,-0.0001,-0.01%,0
2000-01-13,1.6466,1.6499,1.6412,1.6466,-0.0012,-0.07%,0
2000-01-14,1.6344,1.6479,1.6333,1.6344,-0.0122,-0.74%,0
2000-01-18,1.6366,1.6396,1.6316,1.6366,0.0022,+0.13%,0
2000-01-19,1.644,1.6453,1.6366,1.644,0.0074,+0.45%,0
2000-01-20,1.6565,1.6593,1.6425,1.6565,0.0125,+0.76%,0
2000-01-21,1.6493,1.6577,1.6484,1.6493,-0.0072,-0.43%,0
2000-01-24,1.6502,1.6557,1.6465,1.6502,0.0009,+0.05%,0
2000-01-25,1.6446,1.6537,1.6434,1.6446,-0.0056,-0.34%,0
2000-01-26,1.6381,1.6468,1.6356,1.6381,-0.0065,-0.40%,0
2000-01-27,1.6388,1.64,1.6345,1.6388,0.0007,+0.04%,0
2000-01-28,1.6217,1.6392,1.6161,1.6217,-0.0171,-1.04%,0
2000-01-31,1.6156,1.6259,1.6118,1.6156,-0.0061,-0.38%,0
2000-02-01,1.6151,1.6177,1.61,1.6151,-0.0005,-0.03%,0
2000-02-02,1.6074,1.6155,1.6031,1.6074,-0.0077,-0.48%,0
2000-02-03,1.5947,1.6085,1.5942,1.5947,-0.0127,-0.79%,0
2000-02-04,1.5895,1.6021,1.5835,1.5895,-0.0052,-0.33%,0
2000-02-07,1.5969,1.5992,1.5888,1.5969,0.0074,+0.47%,0
2000-02-08,1.6109,1.6135,1.5974,1.6109,0.014,+0.88%,0
2000-02-09,1.6143,1.6154,1.6067,1.6143,0.0034,+0.21%,0
2000-02-10,1.6087,1.6172,1.6053,1.6087,-0.0056,-0.35%,0
2000-02-11,1.5942,1.6104,1.5879,1.5942,-0.0145,-0.90%,0
2000-02-14,1.5871,1.597,1.586,1.5871,-0.0071,-0.45%,0
