Time,Open,High,Low,Latest,Change,%Change,Volume
2001-08-27,0.4417,0.4417,0.4373,0.43815,-0.003,-0.68%,0
2001-08-28,0.4378,0.44085,0.4345,0.44085,0.0027,+0.62%,0
2001-08-29,0.4406,0.4423,0.4392,0.43995,-0.0009,-0.20%,0
2001-08-30,0.439,0.4424,0.438,0.44205,0.0021,+0.48%,0
2001-08-31,0.4421,0.4431,0.4367,0.43965,-0.0024,-0.54%,0
2001-09-03,0.439,0.439,0.435,0.43635,-0.0033,-0.75%,0
2001-09-04,0.4369,0.437,0.4304,0.43225,-0.0041,-0.94%,0
2001-09-05,0.4316,0.4333,0.4275,0.43225,0,0.00%,0
2001-09-06,0.432,0.4361,0.4304,0.43475,0.0025,+0.58%,0
2001-09-07,0.4349,0.4367,0.431,0.43465,-0.0001,-0.02%,0
2001-09-10,0.4335,0.4335,0.4279,0.43095,-0.0037,-0.85%,0
2001-09-11,0.4307,0.4351,0.425,0.43355,0.0026,+0.60%,0
2001-09-12,0.4311,0.4313,0.424,0.4271,-0.00645,-1.49%,0
2001-09-13,0.4265,0.4265,0.4195,0.42405,-0.00305,-0.71%,0
2001-09-14,0.4233,0.424,0.4202,0.42385,-0.0002,-0.05%,0
2001-09-17,0.423,0.423,0.4093,0.41085,-0.013,-3.07%,0
2001-09-18,0.4111,0.41335,0.408,0.41335,0.0025,+0.61%,0
2001-09-19,0.4133,0.4133,0.409,0.41185,-0.0015,-0.36%,0
2001-09-20,0.4116,0.4132,0.4098,0.41155,-0.0003,-0.07%,0
2001-09-21,0.4117,0.4117,0.4011,0.4022,-0.00935,-2.27%,0
2001-09-24,0.4031,0.4075,0.397,0.40235,0.00015,+0.04%,0
2001-09-25,0.4021,0.4092,0.4016,0.40615,0.0038,+0.94%,0
2001-09-26,0.4068,0.41,0.4035,0.40445,-0.0017,-0.42%,0
2001-09-27,0.404,0.4048,0.3983,0.40155,-0.0029,-0.72%,0
2001-09-28,0.4009,0.4083,0.3995,0.40645,0.0049,+1.22%,0
2001-10-01,0.4068,0.4078,0.4018,0.40665,0.0002,+0.05%,0
2001-10-02,0.4061,0.4068,0.4033,0.40545,-0.0012,-0.30%,0
