Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,1.4481,1.4485,1.4413,1.4458,0,0.00%,0
2000-01-04,1.4451,1.4533,1.4439,1.4517,0.0059,+0.41%,0
2000-01-05,1.4516,1.4559,1.4487,1.449,-0.0027,-0.19%,0
2000-01-06,1.449,1.4595,1.449,1.4593,0.0103,+0.71%,0
2000-01-07,1.4593,1.4613,1.4558,1.4558,-0.0035,-0.24%,0
2000-01-10,1.4566,1.4585,1.4528,1.4548,-0.001,-0.07%,0
2000-01-11,1.4553,1.4587,1.4547,1.4568,0.002,+0.14%,0
2000-01-12,1.4568,1.4577,1.452,1.4533,-0.0035,-0.24%,0
2000-01-13,1.4533,1.4543,1.4488,1.4503,-0.003,-0.21%,0
2000-01-14,1.4503,1.4518,1.4456,1.4488,-0.0015,-0.10%,0
2000-01-17,1.4497,1.4523,1.4491,1.4495,0.0007,+0.05%,0
2000-01-18,1.4495,1.4518,1.4474,1.4495,0,0.00%,0
2000-01-19,1.45,1.4531,1.4485,1.4512,0.0017,+0.12%,0
2000-01-20,1.4511,1.4525,1.4438,1.4468,-0.0044,-0.30%,0
2000-01-21,1.4468,1.4491,1.4378,1.4388,-0.008,-0.55%,0
2000-01-24,1.4382,1.4434,1.4382,1.4425,0.0037,+0.26%,0
2000-01-25,1.4425,1.4439,1.4363,1.4366,-0.0059,-0.41%,0
2000-01-26,1.4368,1.4417,1.4365,1.4383,0.0017,+0.12%,0
2000-01-27,1.4379,1.4398,1.4318,1.4344,-0.0039,-0.27%,0
2000-01-28,1.4353,1.4503,1.4325,1.4458,0.0114,+0.79%,0
2000-01-31,1.4433,1.4515,1.4433,1.4481,0.0023,+0.16%,0
2000-02-01,1.4455,1.4543,1.4448,1.4463,-0.0018,-0.12%,0
2000-02-02,1.4467,1.4543,1.4388,1.4396,-0.0067,-0.46%,0
2000-02-03,1.4398,1.4435,1.4358,1.4415,0.0019,+0.13%,0
2000-02-04,1.4415,1.4475,1.4399,1.4413,-0.0002,-0.01%,0
2000-02-07,1.4395,1.447,1.4373,1.446,0.0047,+0.33%,0
2000-02-08,1.4466,1.4505,1.4455,1.4457,-0.0003,-0.02%,0
2000-02-09,1.4456,1.4475,1.4415,1.4443,-0.0014,-0.10%,0
2000-02-10,1.4442,1.4533,1.4438,1.4484,0.0041,+0.28%,0
2000-02-11,1.4485,1.4523,1.4452,1.4493,0.0009,+0.06%,0
2000-02-14,1.4508,1.4575,1.4488,1.4564,0.0071,+0.49%,0
2000-02-15,1.4565,1.4593,1.4552,1.4555,-0.0009,-0.06%,0
2000-02-16,1.4554,1.4583,1.4498,1.4531,-0.0024,-0.16%,0
2000-02-17,1.4533,1.4543,1.4511,1.4511,-0.002,-0.14%,0
2000-02-18,1.4508,1.452,1.4478,1.4508,-0.0003,-0.02%,0
2000-02-21,1.4491,1.4558,1.449,1.4549,0.0041,+0.28%,0
2000-02-22,1.4547,1.4635,1.4543,1.4618,0.0069,+0.47%,0
2000-02-23,1.4617,1.4665,1.4598,1.4598,-0.002,-0.14%,0
