Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,1.5909,1.5977,1.562,1.5646,-0.0267,-1.68%,0
2000-01-04,1.5645,1.5696,1.5524,1.5572,-0.0074,-0.47%,0
2000-01-05,1.5558,1.5586,1.5427,1.5545,-0.0027,-0.17%,0
2000-01-06,1.554,1.5612,1.5432,1.5528,-0.0017,-0.11%,0
2000-01-07,1.5528,1.5663,1.5488,1.5628,0.01,+0.64%,0
2000-01-10,1.5641,1.5751,1.5625,1.5688,0.006,+0.38%,0
2000-01-11,1.5685,1.5698,1.5582,1.5583,-0.0105,-0.67%,0
2000-01-12,1.5582,1.5685,1.5531,1.5621,0.0038,+0.24%,0
2000-01-13,1.5627,1.5741,1.562,1.572,0.0099,+0.63%,0
2000-01-14,1.5717,1.5955,1.5697,1.5918,0.0198,+1.26%,0
2000-01-17,1.5915,1.6028,1.5908,1.596,0.0042,+0.26%,0
2000-01-18,1.596,1.6007,1.5911,1.5915,-0.0045,-0.28%,0
2000-01-19,1.5917,1.5996,1.5885,1.5945,0.003,+0.19%,0
2000-01-20,1.5942,1.6031,1.5828,1.5837,-0.0108,-0.68%,0
2000-01-21,1.5833,1.6029,1.5807,1.5953,0.0116,+0.73%,0
2000-01-24,1.5998,1.6131,1.5993,1.5997,0.0044,+0.28%,0
2000-01-25,1.5997,1.6134,1.5963,1.6112,0.0115,+0.72%,0
2000-01-26,1.6108,1.6133,1.6038,1.6099,-0.0013,-0.08%,0
2000-01-27,1.6099,1.6342,1.6074,1.6321,0.0222,+1.38%,0
2000-01-28,1.632,1.6549,1.6306,1.6468,0.0147,+0.90%,0
2000-01-31,1.645,1.6613,1.6382,1.6588,0.012,+0.73%,0
2000-02-01,1.6572,1.6618,1.6451,1.654,-0.0048,-0.29%,0
2000-02-02,1.6558,1.6609,1.6443,1.6508,-0.0032,-0.19%,0
2000-02-03,1.6524,1.6588,1.6168,1.6236,-0.0272,-1.65%,0
2000-02-04,1.6232,1.6481,1.6175,1.6353,0.0117,+0.72%,0
