Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,102.45,102.45,101.36,101.55,-0.63,-0.62%,0
2000-01-04,101.61,103.27,101.46,103.26,1.71,+1.68%,0
2000-01-05,103.25,104.38,102.84,104.31,1.05,+1.02%,0
2000-01-06,104.26,105.52,104.01,105.26,0.95,+0.91%,0
2000-01-07,105.25,105.87,104.91,105.3,0.04,+0.04%,0
2000-01-10,105.27,105.37,104.38,105.2,-0.1,-0.09%,0
2000-01-11,105.2,106.29,105.06,106.05,0.85,+0.81%,0
2000-01-12,106.07,106.19,105.59,105.88,-0.17,-0.16%,0
2000-01-13,105.9,106.23,105.47,106.12,0.24,+0.23%,0
2000-01-14,106.03,106.38,105.5,105.84,-0.28,-0.26%,0
2000-01-17,105.84,105.86,104.68,104.82,-1.02,-0.96%,0
2000-01-18,104.81,105.73,104.81,105.67,0.85,+0.81%,0
2000-01-19,105.67,106.09,105.2,105.3,-0.37,-0.35%,0
2000-01-20,105.34,105.71,105.21,105.25,-0.05,-0.05%,0
2000-01-21,105.27,105.51,104.49,104.68,-0.57,-0.54%,0
2000-01-24,105.08,105.84,104.71,105.61,0.93,+0.89%,0
2000-01-25,105.63,106.03,105.54,105.95,0.34,+0.32%,0
2000-01-26,105.96,106.29,105.57,105.63,-0.32,-0.30%,0
2000-01-27,105.71,105.87,104.75,105.11,-0.52,-0.49%,0
2000-01-28,105.12,107.21,104.58,107.05,1.94,+1.85%,0
2000-01-31,107.02,107.52,106.62,107.3,0.25,+0.23%,0
2000-02-01,107.39,107.94,107.17,107.78,0.48,+0.45%,0
2000-02-02,107.78,109.03,107.76,108.14,0.36,+0.33%,0
2000-02-03,108.2,108.76,107.28,107.61,-0.53,-0.49%,0
2000-02-04,107.61,108.01,107.21,107.3,-0.31,-0.29%,0
2000-02-07,107.25,108.82,107.25,108.71,1.41,+1.31%,0
2000-02-08,108.63,109.69,108.63,109.43,0.72,+0.66%,0
2000-02-09,109.53,109.64,108.62,109.04,-0.39,-0.36%,0
2000-02-10,109.03,109.18,108.33,109.16,0.12,+0.11%,0
2000-02-11,109.2,109.76,108.85,108.85,-0.31,-0.28%,0
2000-02-14,108.9,109.05,108.08,108.83,-0.02,-0.02%,0
2000-02-15,108.86,109.32,108.49,109.03,0.2,+0.18%,0
2000-02-16,109.04,109.62,108.92,109.38,0.35,+0.32%,0
2000-02-17,109.34,110.64,109.34,110.64,1.26,+1.15%,0
2000-02-18,110.63,111.24,110.32,111.08,0.44,+0.40%,0
2000-02-21,110.85,111.43,110.43,111.21,0.13,+0.12%,0
2000-02-22,111.22,111.73,110.59,110.78,-0.43,-0.39%,0
2000-02-23,110.75,111.33,110.12,111.13,0.35,+0.32%,0
2000-02-24,111.12,111.48,110.61,111.29,0.16,+0.14%,0
2000-02-25,111.29,111.46,110.17,110.3,-0.99,-0.89%,0
2000-02-28,110.19,110.39,108.48,109.51,-0.79,-0.72%,0
2000-02-29,109.58,110.4,109.41,110.16,0.65,+0.59%,0
2000-03-01,110.17,110.31,106.63,107.23,-2.93,-2.66%,0
2000-03-02,107.15,107.93,106.64,107.75,0.52,+0.48%,0
2000-03-03,107.75,108,107.37,107.72,-0.03,-0.03%,0
2000-03-06,107.82,107.92,106.77,107.53,-0.19,-0.18%,0
2000-03-07,107.53,108.1,105.85,106.2,-1.33,-1.24%,0
2000-03-08,106.2,107.48,106.07,107.17,0.97,+0.91%,0
2000-03-09,107.12,107.25,106.24,106.61,-0.56,-0.52%,0
2000-03-10,106.6,106.69,106.1,106.24,-0.37,-0.35%,0
2000-03-13,106.29,106.55,104.85,105.51,-0.73,-0.69%,0
2000-03-14,105.57,105.88,104.65,105.17,-0.34,-0.32%,0
2000-03-15,105.16,106.2,104.8,105.68,0.51,+0.48%,0
2000-03-16,105.6,105.8,105.15,105.45,-0.23,-0.22%,0
