Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,8.3966,8.507,8.3696,8.3966,-0.1114,-1.31%,0
2000-01-04,8.3707,8.4068,8.3377,8.3707,-0.0259,-0.31%,0
2000-01-05,8.3728,8.3986,8.3187,8.3728,0.0021,+0.03%,0
2000-01-06,8.3835,8.4014,8.3013,8.3835,0.0107,+0.13%,0
2000-01-07,8.4284,8.4366,8.3521,8.4284,0.0449,+0.54%,0
2000-01-10,8.4519,8.4791,8.409,8.4519,0.0235,+0.28%,0
2000-01-11,8.4011,8.4546,8.3837,8.4011,-0.0508,-0.60%,0
2000-01-12,8.3954,8.4486,8.3705,8.3954,-0.0057,-0.07%,0
2000-01-13,8.4204,8.4445,8.396,8.4204,0.025,+0.30%,0
2000-01-14,8.4574,8.491,8.4018,8.4574,0.037,+0.44%,0
2000-01-18,8.4631,8.506,8.453,8.4631,0.0057,+0.07%,0
2000-01-19,8.4706,8.502,8.429,8.4706,0.0075,+0.09%,0
2000-01-20,8.4453,8.527,8.433,8.4453,-0.0253,-0.30%,0
2000-01-21,8.5071,8.5306,8.4215,8.5071,0.0618,+0.73%,0
2000-01-24,8.5051,8.555,8.5038,8.5051,-0.002,-0.02%,0
2000-01-25,8.5189,8.5232,8.4644,8.5189,0.0138,+0.16%,0
2000-01-26,8.515,8.545,8.4869,8.515,-0.0039,-0.05%,0
2000-01-27,8.6114,8.6395,8.509,8.6114,0.0964,+1.13%,0
2000-01-28,8.8122,8.8475,8.6,8.8122,0.2008,+2.33%,0
2000-01-31,8.863,8.8758,8.748,8.863,0.0508,+0.58%,0
2000-02-01,8.7659,8.8777,8.7542,8.7659,-0.0971,-1.10%,0
2000-02-02,8.7322,8.8988,8.6947,8.7322,-0.0337,-0.38%,0
2000-02-03,8.587,8.772,8.5583,8.587,-0.1452,-1.66%,0
2000-02-04,8.6113,8.6654,8.54,8.6113,0.0243,+0.28%,0
2000-02-07,8.6414,8.6821,8.6001,8.6414,0.0301,+0.35%,0
