Time,Open,High,Low,Latest,Change,%Change,Volume
2000-01-03,7.8881,8.0155,7.8794,7.8881,-0.1279,-1.60%,0
2000-01-04,7.9446,7.9701,7.8675,7.9446,0.0565,+0.72%,0
2000-01-05,7.9414,7.9698,7.9031,7.9414,-0.0032,-0.04%,0
2000-01-06,7.9534,7.9765,7.8762,7.9534,0.012,+0.15%,0
2000-01-07,7.9862,7.9936,7.9197,7.9862,0.0328,+0.41%,0
2000-01-10,8.0163,8.0348,7.966,8.0163,0.0301,+0.38%,0
2000-01-11,7.967,8.024,7.9591,7.967,-0.0493,-0.61%,0
2000-01-12,7.9544,8.001,7.944,7.9544,-0.0126,-0.16%,0
2000-01-13,7.946,7.9811,7.929,7.946,-0.0084,-0.11%,0
2000-01-14,7.9682,8.0086,7.9296,7.9682,0.0222,+0.28%,0
2000-01-18,7.9943,8.055,7.9778,7.9943,0.0261,+0.33%,0
2000-01-19,7.9883,8.0078,7.9604,7.9883,-0.006,-0.08%,0
2000-01-20,7.9558,8.023,7.939,7.9558,-0.0325,-0.41%,0
2000-01-21,8.0074,8.0285,7.9285,8.0074,0.0516,+0.65%,0
2000-01-24,8.0215,8.05,7.9995,8.0215,0.0141,+0.18%,0
2000-01-25,8.0469,8.0483,7.979,8.0469,0.0254,+0.32%,0
2000-01-26,8.07,8.0895,8.015,8.07,0.0231,+0.29%,0
2000-01-27,8.1346,8.166,8.0431,8.1346,0.0646,+0.80%,0
2000-01-28,8.273,8.2997,8.125,8.273,0.1384,+1.70%,0
2000-01-31,8.3356,8.3597,8.2302,8.3356,0.0626,+0.76%,0
2000-02-01,8.2668,8.347,8.2498,8.2668,-0.0688,-0.83%,0
2000-02-02,8.2431,8.3177,8.2064,8.2431,-0.0237,-0.29%,0
2000-02-03,8.1915,8.2828,8.1145,8.1915,-0.0516,-0.63%,0
2000-02-04,8.214,8.2768,8.1537,8.214,0.0225,+0.27%,0
2000-02-07,8.2412,8.272,8.2062,8.2412,0.0272,+0.33%,0
2000-02-08,8.1904,8.242,8.1425,8.1904,-0.0508,-0.62%,0
2000-02-09,8.1489,8.1891,8.1203,8.1489,-0.0415,-0.51%,0
2000-02-10,8.1596,8.1989,8.1155,8.1596,0.0107,+0.13%,0
2000-02-11,8.1878,8.217,8.1495,8.1878,0.0282,+0.35%,0
2000-02-14,8.2219,8.255,8.1515,8.2219,0.0341,+0.42%,0
2000-02-15,8.2533,8.2749,8.2128,8.2533,0.0314,+0.38%,0
2000-02-16,8.224,8.2832,8.2155,8.224,-0.0293,-0.36%,0
2000-02-17,8.2556,8.2953,8.1785,8.2556,0.0316,+0.38%,0
2000-02-18,8.2616,8.295,8.2211,8.2616,0.006,+0.07%,0
2000-02-21,8.2679,8.296,8.225,8.2679,0.0063,+0.08%,0
2000-02-22,8.1615,8.261,8.1287,8.1615,-0.1064,-1.29%,0
2000-02-23,8.1635,8.1778,8.1194,8.1635,0.002,+0.02%,0
2000-02-24,8.2011,8.2376,8.1402,8.2011,0.0376,+0.46%,0
2000-02-25,8.3146,8.3341,8.1934,8.3146,0.1135,+1.38%,0
